"FAOSTATCODE"	"ISO3"	"COUNTRY"	"FRANUMCODE"	"UNSDNUMCODE"	"FAOCOUNTRY"
117	"KOR"	"Korea, Republic of"	106	410	"Republic of Korea"
118	"KWT"	"Kuwait"	93	414	"Kuwait"
119	"LVA"	"Latvia"	163	428	"Latvia"
120	"LAO"	"Lao People's Democratic Republic"	39	418	"Lao People's Democratic Republic"
121	"LBN"	"Lebanon"	94	422	"Lebanon"
122	"LSO"	"Lesotho"	27	426	"Lesotho"
123	"LBR"	"Liberia"	78	430	"Liberia"
124	"LBY"	"Libya"	58	434	"Libya"
125	"LIE"	"Liechtenstein"	138	438	"Liechtenstein"
126	"LTU"	"Lithuania"	164	440	"Lithuania"
129	"MDG"	"Madagascar"	23	450	"Madagascar"
130	"MWI"	"Malawi"	15	454	"Malawi"
131	"MYS"	"Malaysia"	83	458	"Malaysia"
132	"MDV"	"Maldives"	34	462	"Maldives"
133	"MLI"	"Mali"	68	466	"Mali"
134	"MLT"	"Malta"	139	470	"Malta"
135	"MTQ"	"Martinique"	192	474	"Martinique"
136	"MRT"	"Mauritania"	69	478	"Mauritania"
137	"MUS"	"Mauritius"	24	480	"Mauritius"
138	"MEX"	"Mexico"	176	484	"Mexico"
141	"MNG"	"Mongolia"	107	496	"Mongolia"
143	"MAR"	"Morocco"	57	504	"Morocco"
144	"MOZ"	"Mozambique"	16	508	"Mozambique"
145	"FSM"	"Micronesia, Federated States of"	4921994	583	"Micronesia (Federated States of)"
146	"MDA"	"Moldova, Republic of"	165	498	"Republic of Moldova"
147	"NAM"	"Namibia"	17	516	"Namibia"
148	"NRU"	"Nauru"	5293372	520	"Nauru"
149	"NPL"	"Nepal"	35	524	"Nepal"
150	"NLD"	"Netherlands"	140	528	"Netherlands"
151	"ANT"	"Netherlands Antilles"	194	530	"Netherlands Antilles"
153	"NCL"	"New Caledonia"	115	540	"New Caledonia"
154	"MKD"	"Macedonia, The Former Yugoslav Republic of"	151	807	"The former Yugoslav Republic of Macedonia"
155	"VUT"	"Vanuatu"	122	548	"Vanuatu"
156	"NZL"	"New Zealand"	124	554	"New Zealand"
157	"NIC"	"Nicaragua"	177	558	"Nicaragua"
158	"NER"	"Niger"	70	562	"Niger"
159	"NGA"	"Nigeria"	1	566	"Nigeria"
160	"NIU"	"Niue"	116	570	"Niue"
161	"NFK"	"Norfolk Island"	643000372	574	"Norfolk Island"
162	"NOR"	"Norway"	126	579	"Norway"
165	"PAK"	"Pakistan"	36	586	"Pakistan"
166	"PAN"	"Panama"	178	591	"Panama"
167	"CZE"	"Czech Republic"	148	203	"Czech Republic"
168	"PNG"	"Papua New Guinea"	118	598	"Papua New Guinea"
169	"PRY"	"Paraguay"	211	600	"Paraguay"
170	"PER"	"Peru"	212	604	"Peru"
171	"PHL"	"Philippines"	84	608	"Philippines"
173	"POL"	"Poland"	150	616	"Poland"
174	"PRT"	"Portugal"	141	620	"Portugal"
175	"GNB"	"Guinea-Bissau"	67	624	"Guinea-Bissau"
176	"TLS"	"Timor-Leste"	7655420	626	"Timor-Leste"
178	"ERI"	"Eritrea"	62	232	"Eritrea"
179	"QAT"	"Qatar"	96	634	"Qatar"
180	"PLW"	"Palau"	5294032	585	"Palau"
181	"ZWE"	"Zimbabwe"	21	716	"Zimbabwe"
182	"REU"	"Reunion"	25	638	"Réunion"
183	"ROU"	"Romania"	152	642	"Romania"
184	"RWA"	"Rwanda"	10	646	"Rwanda"
185	"RUS"	"Russian Federation"	166	643	"Russian Federation"
186	"SCG"	"Serbia and Montenegro"	"NA"	891	"Serbia and Montenegro"
187	"SHN"	"Saint Helena, Ascension and Tristan da Cunha"	18	654	"Saint Helena"
188	"KNA"	"Saint Kitts and Nevis"	195	659	"Saint Kitts and Nevis"
189	"LCA"	"Saint Lucia"	196	662	"Saint Lucia"
190	"SPM"	"Saint Pierre and Miquelon"	197	666	"Saint Pierre and Miquelon"
191	"VCT"	"Saint Vincent and the Grenadines"	198	670	"Saint Vincent and the Grenadines"
193	"STP"	"Sao Tome and Principe"	11	678	"Sao Tome and Principe"
194	"SAU"	"Saudi Arabia"	97	682	"Saudi Arabia"
195	"SEN"	"Senegal"	71	686	"Senegal"
196	"SYC"	"Seychelles"	26	690	"Seychelles"
197	"SLE"	"Sierra Leone"	2	694	"Sierra Leone"
198	"SVN"	"Slovenia"	154	705	"Slovenia"
199	"SVK"	"Slovakia"	153	703	"Slovakia"
200	"SGP"	"Singapore"	85	702	"Singapore"
201	"SOM"	"Somalia"	46	706	"Somalia"
202	"ZAF"	"South Africa"	28	710	"South Africa"
203	"ESP"	"Spain"	50	724	"Spain"
206	"SDN"	"Sudan"	74	736	"Sudan (former)"
207	"SUR"	"Suriname"	213	740	"Suriname"
208	"TJK"	"Tajikistan"	167	762	"Tajikistan"
209	"SWZ"	"Swaziland"	29	748	"Swaziland"
210	"SWE"	"Sweden"	128	752	"Sweden"
211	"CHE"	"Switzerland"	142	757	"Switzerland"
212	"SYR"	"Syrian Arab Republic"	98	760	"Syrian Arab Republic"
213	"TKM"	"Turkmenistan"	168	795	"Turkmenistan"
215	"TZA"	"Tanzania, United Republic of"	19	834	"United Republic of Tanzania"
216	"THA"	"Thailand"	41	764	"Thailand"
217	"TGO"	"Togo"	3	768	"Togo"
219	"TON"	"Tonga"	121	776	"Tonga"
220	"TTO"	"Trinidad and Tobago"	199	780	"Trinidad and Tobago"
221	"OMN"	"Oman"	95	512	"Oman"
