"COUNTRY"	"COUNTRYCODE"	"POP"	"POPCODE"	"YEAR"	"TOTPOP1000"	"RURPOP1000"	"URBPOP1000"	"AGRIPOP1000"
"Pakistan"	165	"Population - Est. & Proj."	3010	2000	144522	96631	47892	68479
"Palau"	180	"Population - Est. & Proj."	3010	2000	19	6	13	5
"Panama"	166	"Population - Est. & Proj."	3010	2000	2956	1011	1945	682
"Papua New Guinea"	168	"Population - Est. & Proj."	3010	2000	5379	4669	710	4205
"Paraguay"	169	"Population - Est. & Proj."	3010	2000	5344	2387	2957	1871
"Peru"	170	"Population - Est. & Proj."	3010	2000	25862	6972	18890	7347
"Philippines"	171	"Population - Est. & Proj."	3010	2000	77310	40209	37101	30520
"Poland"	173	"Population - Est. & Proj."	3010	2000	38302	14664	23639	7270
"Portugal"	174	"Population - Est. & Proj."	3010	2000	10336	4713	5623	1489
"Puerto Rico"	177	"Population - Est. & Proj."	3010	2000	3814	204	3610	110
"Qatar"	179	"Population - Est. & Proj."	3010	2000	591	30	561	8
"Republic of Korea"	117	"Population - Est. & Proj."	3010	2000	45988	9372	36616	4028
"Republic of Moldova"	146	"Population - Est. & Proj."	3010	2000	4107	2276	1831	931
"Réunion"	182	"Population - Est. & Proj."	3010	2000	739	75	664	24
"Romania"	183	"Population - Est. & Proj."	3010	2000	22192	10429	11763	3082
"Russian Federation"	185	"Population - Est. & Proj."	3010	2000	146758	39111	107647	15466
"Rwanda"	184	"Population - Est. & Proj."	3010	2000	8098	6983	1115	7355
"Saint Helena"	187	"Population - Est. & Proj."	3010	2000	5	3	2	3
"Saint Kitts and Nevis"	188	"Population - Est. & Proj."	3010	2000	46	31	15	11
"Saint Lucia"	189	"Population - Est. & Proj."	3010	2000	157	113	44	36
"Saint Pierre and Miquelon"	190	"Population - Est. & Proj."	3010	2000	6	1	6	0
"Saint Vincent and the Grenadines"	191	"Population - Est. & Proj."	3010	2000	108	59	49	25
"Samoa"	244	"Population - Est. & Proj."	3010	2000	177	138	39	61
"San Marino"	192	"Population - Est. & Proj."	3010	2000	27	2	25	2
"Sao Tome and Principe"	193	"Population - Est. & Proj."	3010	2000	141	66	75	88
"Saudi Arabia"	194	"Population - Est. & Proj."	3010	2000	20045	4040	16006	2027
"Senegal"	195	"Population - Est. & Proj."	3010	2000	9506	5671	3835	6986
"Serbia and Montenegro"	186	"Population - Est. & Proj."	3010	2000	10767	5027	5739	2146
"Seychelles"	196	"Population - Est. & Proj."	3010	2000	79	39	40	62
"Sierra Leone"	197	"Population - Est. & Proj."	3010	2000	4143	2672	1471	2692
"Singapore"	200	"Population - Est. & Proj."	3010	2000	3919	0	3919	6
"Slovakia"	199	"Population - Est. & Proj."	3010	2000	5405	2366	3039	496
"Slovenia"	198	"Population - Est. & Proj."	3010	2000	1985	978	1008	38
"Solomon Islands"	25	"Population - Est. & Proj."	3010	2000	409	345	64	293
"Somalia"	201	"Population - Est. & Proj."	3010	2000	7399	4939	2460	5190
"South Africa"	202	"Population - Est. & Proj."	3010	2000	44760	19296	25464	6201
"Spain"	203	"Population - Est. & Proj."	3010	2000	40288	9564	30725	2934
"Sri Lanka"	38	"Population - Est. & Proj."	3010	2000	18745	15778	2967	8677
"Sudan (former)"	206	"Population - Est. & Proj."	3010	2000	34188	22766	11421	20825
"Suriname"	207	"Population - Est. & Proj."	3010	2000	467	164	303	88
"Swaziland"	209	"Population - Est. & Proj."	3010	2000	1064	823	241	377
"Sweden"	210	"Population - Est. & Proj."	3010	2000	8860	1415	7445	314
"Switzerland"	211	"Population - Est. & Proj."	3010	2000	7168	1912	5256	465
"Syrian Arab Republic"	212	"Population - Est. & Proj."	3010	2000	15989	7683	8306	3810
"Tajikistan"	208	"Population - Est. & Proj."	3010	2000	6173	4538	1635	2095
"Thailand"	216	"Population - Est. & Proj."	3010	2000	63155	43486	19669	30928
"The former Yugoslav Republic of Macedonia"	154	"Population - Est. & Proj."	3010	2000	2009	816	1193	259
"Timor-Leste"	176	"Population - Est. & Proj."	3010	2000	830	629	201	674
"Togo"	217	"Population - Est. & Proj."	3010	2000	4794	3043	1751	2860
"Tokelau"	218	"Population - Est. & Proj."	3010	2000	2	2	0	1
"Tonga"	219	"Population - Est. & Proj."	3010	2000	98	75	23	34
"Trinidad and Tobago"	220	"Population - Est. & Proj."	3010	2000	1292	1152	140	110
"Tunisia"	222	"Population - Est. & Proj."	3010	2000	9456	3458	5998	2253
"Turkey"	223	"Population - Est. & Proj."	3010	2000	63628	22435	41193	16857
"Turkmenistan"	213	"Population - Est. & Proj."	3010	2000	4501	2440	2062	1504
"Turks and Caicos Islands"	224	"Population - Est. & Proj."	3010	2000	19	3	16	4
"Tuvalu"	227	"Population - Est. & Proj."	3010	2000	9	5	4	3
"Uganda"	226	"Population - Est. & Proj."	3010	2000	24213	21288	2925	19138
"Ukraine"	230	"Population - Est. & Proj."	3010	2000	48892	16063	32828	7786
"United Arab Emirates"	225	"Population - Est. & Proj."	3010	2000	3033	599	2435	151
"United Kingdom"	229	"Population - Est. & Proj."	3010	2000	59096	12707	46389	1048
"United Republic of Tanzania"	215	"Population - Est. & Proj."	3010	2000	34038	26445	7594	26640
"United States of America"	231	"Population - Est. & Proj."	3010	2000	282496	59073	223423	6279
"United States Virgin Islands"	240	"Population - Est. & Proj."	3010	2000	109	8	101	23
"Uruguay"	234	"Population - Est. & Proj."	3010	2000	3319	288	3031	367
"Uzbekistan"	235	"Population - Est. & Proj."	3010	2000	24776	15502	9273	6853
"Vanuatu"	155	"Population - Est. & Proj."	3010	2000	185	145	40	68
"Venezuela (Bolivarian Republic of)"	236	"Population - Est. & Proj."	3010	2000	24348	2462	21886	2308
"Viet Nam"	237	"Population - Est. & Proj."	3010	2000	78758	59472	19286	53049
"Wallis and Futuna Islands"	243	"Population - Est. & Proj."	3010	2000	14	14	0	5
"Western Sahara"	205	"Population - Est. & Proj."	3010	2000	315	51	264	116
"Yemen"	249	"Population - Est. & Proj."	3010	2000	17723	13068	4655	8493
"Zambia"	251	"Population - Est. & Proj."	3010	2000	10202	6651	3550	7053
"Zimbabwe"	181	"Population - Est. & Proj."	3010	2000	12509	8287	4223	7868
