"ISO3"	"COUNTRY"	"ANDIFF.00.10.rel"	"CROPAREADIF.00.10"	"MEADOWAREADIF.00.10"	"CATT.DIFF.00.10.rel"	"POPDIF.00.10.rel"	"RURPOPDIF.00.10.rel"	"URBPOPDIF.00.10.rel"	"AGRIPOPDIF.00.10.rel"	"BIOENDIFF.00.09.rel"	"FUELSHAREDIF.00.10"	"SOLIDFUELUSE.2010"	"FOREXSHAREDIF.00.10"	"ROAD.CHANGE.00.10.rel"	"GDPGROWTHAV.00.10"	"CPI2012"	"wald.gruppe"
"AGO"	"Angola"	-0.2089	-0.00802117590438756	0	14.2857142857143	37.0242711474939	11.4583333333333	63.6470243330402	32.2125487841489	-2.31	4.26449723579023	55	-0.0537229002442607	0	11.4172327602	22	"C"
"ARG"	"Argentina"	-0.7724	10.7239965472594	4.68637606099842	-13.1578947368421	9.42568573826866	-15.7115437345764	12.1800264391299	-11.1428571428571	-2.78	1.17931960468685	5	-0.0292199110968805	0.67569661	2.9056759325	35	"E"
"AUT"	"Austria"	0.1277	15.0470966972696	-1.55001788482175	0	4.85946283572767	-0.511322132943755	7.65141446743877	-31.3868613138686	20.68	3.9720502416292	5	-0.0634762852032902	0	1.8946752956	69	"D"
"BEL"	"Belgium"	0.1574	24.5020964360587	2.35849056603773	-12.7853881278539	5.26729559748428	-5.78231292517007	5.59603319166161	-27.1739130434783	18.38	2.58553233134314	5	-0.0434209453280646	3.9e-07	1.7689989301	75	"D"
"BGD"	"Bangladesh"	-0.1771	3.125	0	6.88259109311741	14.7385641088956	8.01648135244039	36.5117267999084	-5.10461075232507	-0.43	1.16622859398464	91	-0.504175555915638	-0.03152394	6.4338691935	26	"A"
"BGR"	"Bulgaria"	1.6356	25.2342342342342	-0.117117117117118	-8.33333333333333	-6.39520359730202	-14.0963855421687	-2.91878172588833	-50.9836065573771	-2.14	2.83355051352051	14	-0.00918723803436861	0.0406174	4.6605269162	41	"E"
"BIH"	"Bosnia and Herzegovina"	0	10.0956844366335	0.0976371802382374	0	1.78668110449377	-7.86838340486409	14.4646211646838	-55.5	-12.45	12.6688773423828	45	0.5468251630301	0	4.6236001285	42	"E"
"BLR"	"Belarus"	0.4315	-0.00963391136801539	1.18497109826589	0	-4.60330085504076	-19.7355371900826	1.90530356888952	-35.9128474830954	0	6.98311558994874	5	0.229566375119074	-2.5e-07	8.0048446158	31	"B"
"BOL"	"Bolivia, Plurinational State of"	-0.4818	0.046423564965683	-0.756431029146718	22.2222222222222	19.5377392560491	4.76190476190476	28.6353903056259	11.686848774993	4.46	-10.0501243137616	29	0.179237337356595	2.56224052	4.0970564231	34	"A"
"BRA"	"Brazil"	-0.484	-0.0380041034096822	-0.0241929706501693	18.4615384615385	11.7649419521284	-19.9506187892459	19.1118423375395	-23.8105567606652	8.26	-3.54022880729713	6	-0.119114630502613	9.39490813	4.0517778732	43	"E"
"CAN"	"Canada"	0	-0.134906812143015	-0.0585297260700652	4.99999999999999	10.9237943065836	4.94121385446457	12.459998358907	-19.4125159642401	-3.31	0.810937988286326	5	-0.0185140240897844	0	2.3946052435	84	"D"
"CHL"	"Chile"	0.2507	0.128200044936098	1.34147469701175	-11.1111111111111	10.9857328145266	-13.1518227964928	14.9324681204256	-7.13121434392828	-4.04	-6.37089037002704	6	-0.362920323481489	2.38912007	4.3034958148	72	"E"
"CIV"	"Cote d'Ivoire"	0.0726	1.8606959002667	0.620231966755561	14.2857142857143	19.0326860451092	4.22986541337321	38.2271468144044	-7.43351886209029	1.22	14.4940726164029	78	-0.0614912763347277	-2.88975446	0.6982611752	29	"C"
"CMR"	"Cameroon"	-0.9948	0.420662964832576	0	-17.1875	25.009567546881	3.72726116270195	46.4116668798772	-3.83785080355001	-1.72	-0.793685584416764	75	1.75095639700563	9.70981564	3.7220705071	26	"A"
"COD"	"Congo, The Democratic Republic of the"	-0.198	-0.0170585877195227	0.0426464692988073	0	32.9262886390199	22.7353667643173	56.8775744479708	22.4475229536385	0.14	-0.45014923638179	93	-0.686395264116576	0	4.1740990012	21	"C"
"COL"	"Colombia"	-0.1642	1.32603459601489	-1.01948762864024	20.3703703703704	16.4244039835027	3.93551873198847	21.2630844382414	-12.3285947917977	-9.23	-12.1110652566622	14	0.0499965210843061	0	4.5269339871	36	"B"
"CRI"	"Costa Rica"	0.9638	0.978473581213307	-0.978473581213308	-2.70270270270271	18.8823679510079	3.30218068535826	29.6888504753673	-8.2089552238806	47.16	-6.13039120066055	6	0.649755705279243	1.68457241	4.5375514074	54	"D"
"CUB"	"Cuba"	1.7864	-1.44326177160382	1.17265018942811	-3.17460317460318	1.38688760806916	2.953119232189	0.881477069684336	-20.8695652173913	-0.57	8.3897201107921	9	0.061877377455099	0	5.7774075394	48	"E"
"CYP"	"Cyprus"	0.0916	6.53948008431065	0	26.3157894736842	17.0731707317073	10.8108108108108	19.7530864197531	-27.1604938271605	7.05	14.1638628468323	5	-0.000203966196527235	0.76518661	3.359665849	66	"D"
"CZE"	"Czech Republic"	0.0758	0.0126790921770001	0.316977304425002	-16.2162162162162	2.4406912037489	4.2042042042042	1.82082068874522	-23.9766081871345	3.52	5.23191227561001	5	-0.434823738267917	0	3.8114072912	49	"E"
"DEU"	"Germany"	0	25.223358073099	6.09998599635905	-10.4651162790698	-0.0570741599776561	-2.9577528292529	1.01379424962606	-37.3184898354308	15.63	11.7128483370065	5	-0.0865883213411726	0	1.28047276	79	"D"
