"COUNTRY"	"COUNTRYCODE"	"TOTPOP.2010"	"POPDIF.00.10"	"POPDIF.00.10.rel"	"RURPOPDIF.00.10.rel"	"URBPOPDIF.00.10.rel"	"AGRIPOPDIF.00.10.rel"
"Afghanistan"	2	31412	8556	37.4343717185859	33.2949561403509	53.7911611785095	28.9896907216495
"Albania"	3	3204	132	4.296875	-13.9106145251397	29.7191887675507	-9.64912280701754
"Algeria"	4	35468	4934	16.159035828912	-3.16192649335832	29.1479575073924	0.379609544468547
"American Samoa"	5	68	10	17.2413793103448	-16.6666666666667	25.4901960784314	-10
"Andorra"	6	85	20	30.7692307692308	100	25	-16.6666666666667
"Angola"	7	19082	5156	37.0242711474939	11.4583333333333	63.6470243330402	32.2125487841489
"Anguilla"	258	15	4	36.3636363636364	NA	36.3636363636364	0
"Antigua and Barbuda"	8	89	11	14.1025641025641	16.9811320754717	8	0
"Argentina"	9	40412	3481	9.42568573826866	-15.7115437345764	12.1800264391299	-11.1428571428571
"Armenia"	1	3092	16	0.520156046814044	1.83992640294388	-0.201106083459025	-25.4498714652956
"Aruba"	22	107	17	18.8888888888889	18.75	19.047619047619	4.76190476190476
"Australia"	10	22268	3104	16.1970361093717	-1.42276422764228	18.7847949715654	-1.0250569476082
"Austria"	11	8394	389	4.85946283572767	-0.511322132943755	7.65141446743877	-31.3868613138686
"Azerbaijan"	52	9188	1077	13.2782640858094	11.5967660434563	14.9084778420039	-4.12654745529574
"Bahamas"	12	343	45	15.1006711409396	3.77358490566038	18.0327868852459	-27.2727272727273
"Bahrain"	13	1262	624	97.8056426332288	94.5945945945946	98.2269503546099	14.2857142857143
"Bangladesh"	16	148692	19100	14.7385641088956	8.01648135244039	36.5117267999084	-5.10461075232507
"Barbados"	14	273	5	1.86567164179104	-7.87878787878788	18.4466019417476	-36.3636363636364
"Belarus"	57	9595	-463	-4.60330085504076	-19.7355371900826	1.90530356888952	-35.9128474830954
"Belgium"	255	10712	536	5.26729559748428	-5.78231292517007	5.59603319166161	-27.1739130434783
"Belize"	23	312	61	24.3027888446215	13.7404580152672	35.8333333333333	8.82352941176471
"Benin"	53	8850	2332	35.7778459650199	27.6188106494153	48.9591673338671	11.4586295137902
"Bermuda"	17	65	2	3.17460317460317	NA	3.17460317460317	0
"Bhutan"	18	726	155	27.1453590192644	11.2676056338028	73.7931034482759	27.4102079395085
"Bolivia (Plurinational State of)"	19	9930	1623	19.5377392560491	4.76190476190476	28.6353903056259	11.686848774993
"Bosnia and Herzegovina"	80	3760	66	1.78668110449377	-7.86838340486409	14.4646211646838	-55.5
"Botswana"	20	2007	249	14.1638225255973	-5.10948905109489	31.0897435897436	9.4559585492228
"Brazil"	21	194946	20521	11.7649419521284	-19.9506187892459	19.1118423375395	-23.8105567606652
"British Virgin Islands"	239	23	3	15	16.6666666666667	25	0
"Brunei Darussalam"	26	399	72	22.0183486238532	3.19148936170213	29.6137339055794	-50
"Bulgaria"	27	7494	-512	-6.39520359730202	-14.0963855421687	-2.91878172588833	-50.9836065573771
"Burkina Faso"	233	16469	4175	33.9596551163169	21.1683168316832	92.8441203281677	33.697856953876
"Burundi"	29	8383	2009	31.5186695952306	27.603899435608	74.9525616698292	29.2055267702936
"Côte d'Ivoire"	107	19738	3156	19.0326860451092	4.22986541337321	38.2271468144044	-7.43351886209029
"Cambodia"	115	14138	1691	13.5856029565357	9.20429275838732	35.1235741444867	6.99839117444266
"Cameroon"	32	19599	3921	25.009567546881	3.72726116270195	46.4116668798772	-3.83785080355001
"Canada"	33	34017	3350	10.9237943065836	4.94121385446457	12.459998358907	-19.4125159642401
"Cape Verde"	35	496	59	13.5011441647597	-5.3921568627451	29.4871794871795	-16.8316831683168
"Cayman Islands"	36	56	16	40	NA	40	22.2222222222222
"Central African Republic"	37	4401	699	18.8816855753647	16.421143847487	23.0437903804738	3.61131794489948
"Chad"	39	11227	3005	36.5482850887862	28.984126984127	61.3943808532778	18.9607874778118
"Chile"	40	17114	1694	10.9857328145266	-13.1518227964928	14.9324681204256	-7.13121434392828
"China"	351	1372148	73880	5.69065863134576	-12.7296972415232	38.2759495884708	-3.46969181687153
"Colombia"	44	46295	6531	16.4244039835027	3.93551873198847	21.2630844382414	-12.3285947917977
"Comoros"	45	735	173	30.7829181494662	29.1338582677165	34.2541436464088	23.1884057971014
"Congo"	46	4043	907	28.922193877551	17.2149961744453	37.2881355932203	2.86852589641434
"Cook Islands"	47	20	2	11.1111111111111	-16.6666666666667	25	-16.6666666666667
"Costa Rica"	48	4659	740	18.8823679510079	3.30218068535826	29.6888504753673	-8.2089552238806
"Croatia"	98	4403	-103	-2.28584110075455	-6.99650174912544	1.51757188498403	-49.738219895288
"Cuba"	49	11258	154	1.38688760806916	2.953119232189	0.881477069684336	-20.8695652173913
"Cyprus"	50	1104	161	17.0731707317073	10.8108108108108	19.7530864197531	-27.1604938271605
"Czech Republic"	167	10493	250	2.4406912037489	4.2042042042042	1.82082068874522	-23.9766081871345
"Democratic People's Republic of Korea"	116	24346	1452	6.342273084651	4.24020662935859	7.77826790177915	-17.6325344952796
"Democratic Republic of the Congo"	250	65966	16340	32.9262886390199	22.7353667643173	56.8775744479708	22.4475229536385
"Denmark"	54	5550	210	3.93258426966292	-8.41708542713568	6.09595070422535	-30.1980198019802
"Djibouti"	72	889	157	21.448087431694	20.5714285714286	21.9424460431655	14.8342059336824
"Dominica"	55	68	-2	-2.85714285714286	-4.34782608695652	-2.12765957446809	-12.5
